organisation,url,redirects,sector
Accident Compensation Corporation,acc.co.nz,No,Crown Entity - Crown Agent
Accident Compensation Corporation,acc.govt.nz,Yes,Crown Entity - Crown Agent
Accident Compensation Corporation,accfleets.co.nz,Yes,Crown Entity - Crown Agent
Accident Compensation Corporation,businessdescription.co.nz,No,Crown Entity - Crown Agent
Accident Compensation Corporation,drinksmart.co.nz,Yes,Crown Entity - Crown Agent
Accident Compensation Corporation,findsupport.co.nz,No,Crown Entity - Crown Agent
Accident Compensation Corporation,fleetsafety.govt.nz,Yes,Crown Entity - Crown Agent
Accident Compensation Corporation,habitatwork.co.nz,No,Crown Entity - Crown Agent
Accident Compensation Corporation,homesafety.co.nz,No,Crown Entity - Crown Agent
Accident Compensation Corporation,msac.org.nz,No,Crown Entity - Crown Agent
Accident Compensation Corporation,myinjuryforecast.co.nz,No,Crown Entity - Crown Agent
Accident Compensation Corporation,rideforever.co.nz,Yes,Crown Entity - Crown Agent
Accident Compensation Corporation,safetyweek.co.nz,No,Crown Entity - Crown Agent
Accident Compensation Corporation,wellsaid.co.nz,No,Crown Entity - Crown Agent
Accident Compensation Corporation,worksmarttips.co.nz,No,Crown Entity - Crown Agent
AgResearch Limited,agresearch.co.nz,No,Crown entity company
Airways Corporation of New Zealand Limited,airways.co.nz,No,State Owned Enterprise
Antarctica New Zealand,antarcticanz.govt.nz,Yes,Crown Entity - Institute
Ashburton District Council,ashburtondc.govt.nz,No,District Council
Asia New Zealand Foundation,asianz.org.nz,No,Public Finance Act Fourth Schedule Organisation
Auckland Council ,akcity.govt.nz,No,City Council
Auckland Council ,arc.govt.nz,Yes,City Council
Auckland Council ,aucklandcouncil.govt.nz,No,City Council
Auckland Council ,aucklandlibraries.govt.nz,No,City Council
Auckland Council ,aupihp.govt.nz,No,City Council
Auckland Council ,franklin.govt.nz,No,City Council
Auckland Council ,manukau-libraries.govt.nz,No,City Council
Auckland Council ,manukau.govt.nz,No,City Council
Auckland Council ,papakuralibrary.govt.nz,Yes,City Council
Auckland Council ,rodney.govt.nz,Yes,City Council
Auckland Council ,shorelibraries.govt.nz,No,City Council
Auckland Council ,theaucklandplan.govt.nz,No,City Council
Auckland Council ,waitakere.govt.nz,No,City Council
Auckland Transport,at.govt.nz,No,City Council
Auckland Transport,aucklandtransport.govt.nz,No,City Council
Australia New Zealand Food Authority,foodstandards.gov.au,No,Other
Bay of Plenty District Health Board,bopdhb.govt.nz,No,District Health Board
Bay of Plenty District Health Board,toiteorapublichealth.govt.nz,No,District Health Board
Bay of Plenty District Health Board,ttophs.govt.nz,No,District Health Board
Bay of Plenty District Health Board,workwell.health.nz,No,District Health Board
Bay of Plenty Regional Council,bopcivildefence.govt.nz,Yes,Regional Council
Bay of Plenty Regional Council,boplass.govt.nz,No,Regional Council
Bay of Plenty Regional Council,boprc.govt.nz,No,Regional Council
Bay of Plenty Regional Council,kaweraudc.govt.nz,No,Regional Council
Bay of Plenty Regional Council,odc.govt.nz,No,Regional Council
Broadcasting Commission,kiwihits.co.nz,Yes,Autonomous Crown Entity
Broadcasting Standards Authority,bsa.govt.nz,No,Independent Crown Entity
Buller District Council,bullerdc.govt.nz,No,District Council
Callaghan Innovation,callaghaninnovation.govt.nz,No,Crown Entity - Crown Agent
Callaghan Innovation,irl.cri.nz,No,Crown Entity - Crown Agent
Callaghan Innovation,msl.irl.cri.nz,Yes,Crown Entity - Crown Agent
Callaghan Innovation,sftichallenge.govt.nz,No,Crown Entity - Crown Agent
Callaghan Innovation,www.measurement.govt.nz,Yes,Crown Entity - Crown Agent
Canterbury District Health Board,cdhb.govt.nz,Yes,District Health Board
Canterbury District Health Board,cdhb.health.nz,No,District Health Board
Canterbury District Health Board,cdhbcareers.co.nz,No,District Health Board
Canterbury District Health Board,labnet.health.nz,No,District Health Board
Canterbury Museum Trust Board,canterburymuseum.com,No,Other
Canterbury Museum Trust Board,cantmus.govt.nz,No,Other
Capital & Coast District Health Board,ccdhb.org.nz,No,District Health Board
Careers New Zealand,careers.govt.nz,No,Crown Entity - Crown Agent
Careers New Zealand,careersnz.govt.nz,No,Crown Entity - Crown Agent
Careers New Zealand,kiwicareers.govt.nz,Yes,Crown Entity - Crown Agent
Carterton District Council ,cdc.govt.nz,Yes,District Council
Carterton District Council ,wairarapasfuture.govt.nz,Yes,District Council
Central Hawkes Bay District Council,chbdc.govt.nz,No,District Council
Central Otago District Council ,codc.govt.nz,No,District Council
Chatham Islands Council,cic.govt.nz,No,District Council
Christchurch City Council,ccc.govt.nz,No,City Council
Christchurch City Council,strongerchristchurch.govt.nz,No,City Council
Christchurch City Council,tfc.govt.nz,Yes,City Council
